Component,RateComponent,RateCategory,RateNote
Division I Teacher - Pre-K,Division I Teacher - Basic Special Education,Calculator-supplied,Uses the calculator-supplied Basic special education rate because the current Pre-K category represents Basic special education units.
Division I Teacher - K-3 Regular Education,Division I Teacher - K-3 Regular Education,Calculator-supplied,The calculator explicitly supplies this component rate.
Division I Teacher - 4-12 Regular Education,Division I Teacher - 4-12 Regular Education,Calculator-supplied,The calculator explicitly supplies this component rate.
Division I Teacher - Basic Special Education,Division I Teacher - Basic Special Education,Calculator-supplied,The calculator explicitly supplies this component rate.
Division I Teacher - Intensive Special Education,Division I Teacher - Intensive Special Education,Calculator-supplied,The calculator explicitly supplies this component rate.
Division I Teacher - Complex Special Education,Division I Teacher - Complex Special Education,Calculator-supplied,The calculator explicitly supplies this component rate.
Vocational Division I,Vocational Division I / Vocational Deduct,Calculator-supplied,The calculator supplies one common rate for Vocational Division I and the vocational deduction.
Vocational Deduct,Vocational Division I / Vocational Deduct,Calculator-supplied,The calculator supplies one common rate for Vocational Division I and the vocational deduction.
Principal,Principal,Calculator-supplied,The calculator explicitly supplies this component rate.
Assistant Principal,Assistant Principal,Calculator-supplied,The calculator explicitly supplies this component rate.
Counselor / Social Worker,Instructional Supports,Analytical assumption,The analysis assigns the Instructional Supports rate.
School Psychologist,Instructional Supports,Analytical assumption,The analysis assigns the Instructional Supports rate.
Nurse,Instructional Supports,Documented crosswalk,The proposed model combines nursing into Instructional Supports.
Academic Excellence,Instructional Supports,Documented crosswalk,The proposed model combines Academic Excellence into Instructional Supports.
Secretary,Administrative Support Professionals,Analytical assumption,The analysis assigns the Administrative Support Professionals rate.
Driver Education Teacher,Instructional Supports,Documented crosswalk,The proposed model combines Driver Education into Instructional Supports.
Custodians,,Not available,No defensible calculator rate or documented crosswalk was identified.
Cafeteria Manager,,Not available,No defensible calculator rate or documented crosswalk was identified.
Cafeteria Worker,,Not available,No defensible calculator rate or documented crosswalk was identified.
Superintendent,Superintendent,Calculator-supplied,The calculator explicitly supplies this component rate.
Assistant Superintendent,Assistant Superintendent,Calculator-supplied,The calculator explicitly supplies this component rate.
Director,Director,Calculator-supplied,The calculator explicitly supplies this component rate.
Administrative Assistant,Administrative Assistant,Calculator-supplied,The calculator explicitly supplies this component rate.
11-Month Supervisor,11-Month Supervisor,Calculator-supplied,The calculator explicitly supplies this component rate.
Related Services Specialist - Basic,Instructional Supports,Documented crosswalk,The proposed model combines Related Services into Instructional Supports.
Related Services Specialist - Intensive,Instructional Supports,Documented crosswalk,The proposed model combines Related Services into Instructional Supports.
Related Services Specialist - Complex,Instructional Supports,Documented crosswalk,The proposed model combines Related Services into Instructional Supports.
Visiting Teacher,Instructional Supports,Analytical assumption,The analysis assigns the Instructional Supports rate.
Buildings and Grounds Supervisor,Buildings and Grounds Supervisor,Calculator-supplied,The calculator explicitly supplies this component rate.
Food Services Supervisor,Food Services Supervisor,Calculator-supplied,The calculator explicitly supplies this component rate.
Transportation Supervisor,Transportation Supervisor,Calculator-supplied,The calculator explicitly supplies this component rate.
Reading Cadre,Reading Cadre,Calculator-supplied,The calculator explicitly supplies this component rate.
